"Site","Year","SampleRound","Doy","Date","SFBloomStatus","TransectType","GenusSpecies","Abundance","SpParasitismRate","SpInfectedIndividuals","SFspecialist","d","Lecty","degree","r.degree","max.days","min.days","mean.days","median.days","mean.abund","median.abund","PlantPol","NestLoc","Excavate","Sociality","MeanITD","SFBloom","TotalAbundance","Richness","SiteParasitismRate","SiteInfectedIndividuals","County","State","Country","Lat","Long","SiteType","Datum","AdjSF","AdjHR","AltSiteName","SF2019_350","SF2019_1000","SF2019_2500","SF2018_350","SF2018_1000","SF2018_2500","SF2017_350","SF2017_1000","SF2017_2500","Nat350","Nat1000","Nat2500","HR350","HR1000","HR2500","SunflowerCurrent350","SunflowerCurrent1000","SunflowerCurrent2500","SunflowerLastYr350","SunflowerLastYr1000","SunflowerLastYr2500","FloralAbundance","FloralRichness","FloralDiv","HBParasitismRate"
"BM","2018","1",211,2018-07-30,"peak","SF","Triepeolus sp. a",2,1,1,"no",NA,"polylectic",NA,NA,NA,NA,NA,NA,NA,NA,"Pollinator","below","rent","solitary",1.912,1,189,8,0.791666666666667,38,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
"BM","2018","1",211,2018-07-30,"peak","SF","Lasioglossum incompletum",9,0.714285714285714,5,"no",0.1100625,"polylectic",101,133.033333,128,86,107.9,109.5,19.186722,14,"Pollinator","below","ex","social",0.94146341,1,189,8,0.791666666666667,38,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
"BM","2018","1",211,2018-07-30,"peak","SF","Melissodes robustior",5,1,2,"yes",0.40495536,"oligolectic",13,37.5,67,1,25,20,7.28,2,"Pollinator","below","ex","solitary",2.76281216,1,189,8,0.791666666666667,38,"Yolo","CA","USA",38.7341361,-121.6785055,"WM + SF","WGS84","SF","no HR","WM + SF3",342802.566163245,2527302.29642391,8554532.46381517,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,175482.837859804,1351715.12337162,9316392.9604462,1.36515154188632e-50,2.74604791532458e-04,76.4984103000932,344163.9381994,2898580.29792206,14064724.2945531,220582.854700191,1374685.65298488,5479354.08786463,NA,NA,NA,NA
"Butler","2019","1",162,2019-06-11,"no adj SF","HR","Lasioglossum incompletum",1,0,0,"no",0.1100625,"polylectic",101,133.033333,128,86,107.9,109.5,19.186722,14,"Pollinator","below","ex","social",0.94146341,0,13,2,0.833333333333333,10,"Yolo","CA","USA",38.649792,-121.980569,"HR","WGS84","no SF","HR","HR3",170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,325796.808511634,1587941.78250471,5591388.40839725,527.588187529019,80863.5701606001,8916974.22307594,815.790371399806,3721.63037083224,9544.54747070382,170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,274,9,1.94354341256156,NA
"Butler","2019","1",162,2019-06-11,"no adj SF","HR","Melissodes agilis",12,0.909090909090909,10,"yes",0.4466257,"oligolectic",20,21.3333333,74,1,40.7777778,49,12.8717949,2,"Pollinator","below","ex","solitary",2.6000002,0,13,2,0.833333333333333,10,"Yolo","CA","USA",38.649792,-121.980569,"HR","WGS84","no SF","HR","HR3",170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,325796.808511634,1587941.78250471,5591388.40839725,527.588187529019,80863.5701606001,8916974.22307594,815.790371399806,3721.63037083224,9544.54747070382,170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,274,9,1.94354341256156,NA
"Butler","2019","2",167,2019-06-16,"no adj SF","HR","Melissodes agilis",29,0.9,9,"yes",0.4466257,"oligolectic",20,21.3333333,74,1,40.7777778,49,12.8717949,2,"Pollinator","below","ex","solitary",2.6000002,0,36,4,0.941176470588235,16,"Yolo","CA","USA",38.649792,-121.980569,"HR","WGS84","no SF","HR","HR3",170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,325796.808511634,1587941.78250471,5591388.40839725,527.588187529019,80863.5701606001,8916974.22307594,815.790371399806,3721.63037083224,9544.54747070382,170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,319,6,1.60311051193229,0.833333333333333
"Butler","2019","2",167,2019-06-16,"no adj SF","HR","Lasioglossum incompletum",2,1,2,"no",0.1100625,"polylectic",101,133.033333,128,86,107.9,109.5,19.186722,14,"Pollinator","below","ex","social",0.94146341,0,36,4,0.941176470588235,16,"Yolo","CA","USA",38.649792,-121.980569,"HR","WGS84","no SF","HR","HR3",170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,325796.808511634,1587941.78250471,5591388.40839725,527.588187529019,80863.5701606001,8916974.22307594,815.790371399806,3721.63037083224,9544.54747070382,170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,319,6,1.60311051193229,0.833333333333333
"Butler","2019","2",167,2019-06-16,"no adj SF","HR","Halictus tripartitus",1,1,1,"no",0.14721393,"polylectic",89,113.045455,129,86,107.8,107.5,22.4444444,11,"Pollinator","below","ex","social",1.2915664,0,36,4,0.941176470588235,16,"Yolo","CA","USA",38.649792,-121.980569,"HR","WGS84","no SF","HR","HR3",170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,325796.808511634,1587941.78250471,5591388.40839725,527.588187529019,80863.5701606001,8916974.22307594,815.790371399806,3721.63037083224,9544.54747070382,170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,319,6,1.60311051193229,0.833333333333333
"Butler","2019","2",167,2019-06-16,"no adj SF","HR","Melissodes robustior",4,1,4,"yes",0.40495536,"oligolectic",13,37.5,67,1,25,20,7.28,2,"Pollinator","below","ex","solitary",2.76281216,0,36,4,0.941176470588235,16,"Yolo","CA","USA",38.649792,-121.980569,"HR","WGS84","no SF","HR","HR3",170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,325796.808511634,1587941.78250471,5591388.40839725,527.588187529019,80863.5701606001,8916974.22307594,815.790371399806,3721.63037083224,9544.54747070382,170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,319,6,1.60311051193229,0.833333333333333
"Butler","2019","3",176,2019-06-25,"no adj SF","HR","Lasioglossum incompletum",5,0.8,4,"no",0.1100625,"polylectic",101,133.033333,128,86,107.9,109.5,19.186722,14,"Pollinator","below","ex","social",0.94146341,0,30,4,0.941176470588235,16,"Yolo","CA","USA",38.649792,-121.980569,"HR","WGS84","no SF","HR","HR3",170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,325796.808511634,1587941.78250471,5591388.40839725,527.588187529019,80863.5701606001,8916974.22307594,815.790371399806,3721.63037083224,9544.54747070382,170105.484637839,1603318.05298131,6638927.2647162,452439.608354626,1895182.13611409,10151776.0207038,159,9,1.89032106852218,NA
